Id, NetworkId, MNC, TAPCode
627, 446, 3, 'SLVTM'
628, 432, 2, 'HND02'
629, 430, 30, 'NICMS'
631, 199, 1, 'CRICR'
632, 199, 2, NULL
634, 433, 4, 'CRITC'
635, 58, 1, NULL
636, 94, 3, NULL
637, 131, 4, NULL
638, 439, 2, NULL
639, 291, 7, NULL
640, 291, 17, NULL
641, 12, 310, 'ARGCM'
642, 426, 340, NULL
644, 434, 1, NULL
645, 434, 7, NULL
646, 434, 70, 'ARGTM'
647, 469, 2, 'BRARN'
648, 469, 3, 'BRASP'
649, 469, 4, 'BRACS'
650, 93, 3, 'CHLSM'
651, 152, 1, 'CHLMV'
652, 152, 10, NULL
653, 96, 103, 'COLTI'
654, 96, 111, 'COLCO'
655, 104, 1, NULL
656, 104, 2, NULL
657, 104, 3, NULL
658, 404, 4, NULL
659, 151, 2, 'BOLME'
660, 298, 1, 'BOLNT'
661, 183, 2, 'GUYGT'
662, 483, 1, 'GUYUM'
663, 330, 2, NULL
664, 13, 2, NULL
665, 190, 1, NULL
666, 297, 5, NULL
667, 134, 3, NULL
668, 455, 2, NULL
669, 11, 10, NULL
670, 14, 1, NULL
671, 14, 2, NULL
672, 435, 7, NULL
673, 62, 1, 'FLKCW'
1024, 1024, 150, NULL
1025, 1024, 170, NULL
1026, 1024, 380, NULL
1027, 1024, 410, NULL
1028, 1024, 560, NULL
1029, 1024, 680, NULL
1030, 1025, 690, NULL
1031, 1026, 160, NULL
1032, 1026, 200, NULL
1033, 1026, 210, NULL
1034, 1026, 220, NULL
1036, 1026, 230, NULL
1037, 1026, 240, NULL
1038, 1026, 250, NULL
1039, 1026, 260, NULL
1040, 1026, 270, NULL
1041, 1026, 310, NULL
1042, 1026, 490, NULL
1043, 1026, 580, NULL
1044, 1026, 660, NULL
1045, 1026, 800, NULL
1055, 1027, 470, NULL
1056, 1028, 8, 'GLPDT'
1057, 1030, 2, NULL
1059, 1031, 2, 'ISRCL'
1060, 1031, 15, NULL
1061, 1032, 8, NULL
1062, 1033, 7, 'ISRMS'
1063, 1033, 77, NULL
1064, 1035, 1, 'ISR01'
1065, 1035, 14, NULL
1066, 1036, 3, 'ISRPL'
1067, 1036, 16, NULL
1068, 1034, 5, NULL
1074, 1038, 2, NULL
1075, 1039, 10, NULL
1078, 1203, 1, NULL
1079, 1205, 2, NULL
1080, 1205, 3, NULL
1081, 1207, 4, NULL
1082, 1203, 5, NULL
1083, 1207, 7, NULL
1084, 1209, 9, NULL
1085, 1205, 10, NULL
1086, 1203, 11, NULL
1087, 1207, 12, NULL
1088, 1203, 13, NULL
1089, 1207, 14, NULL
1090, 1203, 15, NULL
1091, 1205, 16, NULL
1092, 1041, 17, NULL
1093, 1209, 18, NULL
1094, 1207, 19, NULL
1095, 1203, 20, NULL
1097, 1207, 22, NULL
1098, 1207, 24, NULL
1099, 1041, 25, NULL
1100, 1203, 27, NULL
1101, 1041, 28, NULL
1102, 1041, 29, NULL
1103, 1203, 30, NULL
1104, 1205, 31, NULL
1106, 1211, 34, NULL
1108, 1209, 36, NULL
1109, 1041, 37, NULL
1110, 1211, 38, NULL
1111, 1205, 40, NULL
1112, 1041, 41, NULL
1113, 1041, 42, NULL
1114, 1203, 43, NULL
1115, 1207, 44, NULL
1116, 1205, 45, NULL
1117, 1203, 46, NULL
1118, 1205, 49, NULL
1119, 1209, 50, NULL
1120, 1211, 51, NULL
1121, 1209, 52, NULL
1122, 1211, 53, NULL
1123, 1211, 54, NULL
1124, 1211, 55, NULL
1125, 1207, 56, NULL
1126, 1211, 57, NULL
1127, 1211, 58, NULL
1128, 1211, 59, NULL
1129, 1203, 60, NULL
1130, 1211, 62, NULL
1131, 1211, 64, NULL
1132, 1211, 66, NULL
1133, 1209, 67, NULL
1136, 1205, 70, NULL
1137, 1211, 71, NULL
1138, 1211, 72, NULL
1139, 1211, 73, NULL
1140, 1211, 75, NULL
1141, 1211, 76, NULL
1142, 1211, 77, NULL
1143, 1207, 78, NULL
1144, 1211, 79, NULL
1145, 1211, 80, NULL
1146, 1211, 81, NULL
1147, 1207, 82, NULL
1148, 1209, 83, NULL
1149, 1203, 84, NULL
1150, 1209, 85, NULL
1151, 1203, 86, NULL
1152, 1207, 87, NULL
1153, 1203, 88, NULL
1154, 1207, 89, NULL
1155, 1205, 90, NULL
1156, 1041, 91, NULL
1157, 1205, 92, NULL
1158, 1205, 93, NULL
1159, 1205, 94, NULL
1160, 1205, 95, NULL
1161, 1205, 96, NULL
1162, 1205, 97, NULL
1163, 1205, 98, NULL
1169, 1210, 1, NULL
1170, 1212, 25, NULL
1171, 1212, 26, NULL
1172, 1212, 27, NULL
1173, 1212, 28, NULL
1174, 1212, 29, NULL
1175, 1210, 3, NULL
1176, 1212, 30, NULL
1177, 1212, 31, NULL
1178, 1212, 32, NULL
1179, 1212, 34, NULL
1180, 1212, 35, NULL
1181, 1212, 36, NULL
1182, 1212, 37, NULL
1183, 1212, 38, NULL
1184, 1212, 39, NULL
1185, 1210, 4, NULL
1186, 1212, 40, NULL
1187, 1212, 41, NULL
1188, 1212, 42, NULL
1189, 1212, 43, NULL
1190, 1212, 44, NULL
1191, 1212, 45, NULL
1192, 1212, 46, NULL
1193, 1212, 47, NULL
1194, 1210, 5, NULL
1195, 1210, 6, NULL
1196, 1210, 7, NULL
1197, 1210, 8, NULL
1198, 1210, 9, NULL
1199, 1210, 10, NULL
1200, 1210, 11, NULL
1201, 1210, 12, NULL
1202, 1210, 13, NULL
1203, 1210, 14, NULL
1204, 1210, 15, NULL
1205, 1210, 17, NULL
1206, 1210, 18, NULL
1207, 1210, 19, NULL
1208, 1210, 20, NULL
1209, 1210, 21, NULL
1210, 1210, 22, NULL
1211, 1210, 23, NULL
1212, 1206, 51, NULL
1213, 1206, 52, NULL
1214, 1206, 53, NULL
1215, 1206, 54, NULL
1216, 1206, 55, NULL
1217, 1206, 56, NULL
1218, 1204, 66, NULL
1219, 1204, 67, NULL
1220, 1208, 70, NULL
1221, 1204, 750, NULL
1222, 1204, 751, NULL
1223, 1204, 752, NULL
1224, 1204, 753, NULL
1225, 1204, 754, NULL
1226, 1204, 755, NULL
1227, 1204, 756, NULL
1228, 1208, 799, NULL
1229, 1042, 800, NULL
1230, 1042, 801, NULL
1231, 1042, 802, NULL
1232, 1042, 803, NULL
1233, 1042, 804, NULL
1234, 1042, 805, NULL
1235, 1042, 806, NULL
1236, 1042, 807, NULL
1237, 1042, 808, NULL
1238, 1042, 809, NULL
1239, 1042, 810, NULL
1240, 1042, 811, NULL
1241, 1042, 812, NULL
1243, 1208, 845, NULL
1244, 1208, 846, NULL
1245, 1208, 848, NULL
1246, 1208, 849, NULL
1247, 1208, 850, NULL
1248, 1208, 852, NULL
1249, 1208, 853, NULL
1270, 1043, 18, NULL
1271, 218, 69, NULL
1272, 1044, 17, NULL
1273, 194, 94, NULL
1274, 321, 34, NULL
1275, 367, 90, NULL
1276, 43, 28, NULL
1277, 361, 11, NULL
1278, 168, 14, NULL
1280, 263, 9, NULL
1282, 192, 16, NULL
1283, 1046, 15, NULL
1284, 361, 9, NULL
1285, 1047, 5, NULL
1286, 1048, 7, NULL
1287, 1049, 9, NULL
1288, 1050, 6, NULL
1289, 1051, 5, 'BRACL'
1290, 1052, 6, 'BRAV2'
1291, 1052, 10, 'BRAV1'
1292, 1052, 11, 'BRAV3'
1295, 1052, 23, 'BRATC'
1296, 1053, 31, 'BRATM'
1297, 1053, 16, 'BRABT'
1298, 63, 55, NULL
1299, 1054, 94, NULL
1300, 1055, 91, NULL
1301, 1056, 92, NULL
1302, 1059, 30, NULL
1303, 1060, 2, NULL
1304, 1061, 10, 'ZAFMN'
1305, 1062, 3, 'LBNLC'
1306, 336, 77, 'JORMC'
1307, 406, 14, NULL
1308, 1063, 19, NULL
1309, 1064, 32, NULL
1311, 108, 4, NULL
1312, 108, 6, NULL
1313, 164, 2, NULL
1314, 164, 3, NULL
1315, 164, 6, NULL
1316, 164, 7, NULL
1317, 90, 11, NULL
1318, 1065, 0, 'ECUOT'
