0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:44:50 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:44:51 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:44:51 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:44:56 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 58117
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:44:56 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:44:57 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 5702
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:44:57 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:44:59 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 3841
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:44:59 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:44:59 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 54333
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:44:59 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:45:01 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 22387
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:45:01 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:45:02 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 4431
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:45:02 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:45:02 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:45:03 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 4230
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:45:03 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:45:07 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:45:07 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:45:08 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:45:08 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:47:46 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=5 HTTP/1.1" 200 -
